subject,predicate,object
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619691
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616878
http://purl.bioontology.org/ontology/OMIM/MTHU006625,manifestation_of,http://purl.bioontology.org/ontology/OMIM/619980
http://purl.bioontology.org/ontology/OMIM/MTHU005895,manifestation_of,http://purl.bioontology.org/ontology/OMIM/600072
http://purl.bioontology.org/ontology/OMIM/MTHU005895,manifestation_of,http://purl.bioontology.org/ontology/OMIM/614498
http://purl.bioontology.org/ontology/OMIM/MTHU005895,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300894
http://purl.bioontology.org/ontology/OMIM/MTHU005895,manifestation_of,http://purl.bioontology.org/ontology/OMIM/616840
http://purl.bioontology.org/ontology/OMIM/MTHU005895,manifestation_of,http://purl.bioontology.org/ontology/OMIM/601559
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/234200
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/277900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300322
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/109150
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/254200
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/226600
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/252930
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/252940
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/600072
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/157900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/147421
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/606764
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/158300
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/214800
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/230900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/249900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/164300
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/200150
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/302800
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/254210
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/207950
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/118420
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/255700
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/254900
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/164400
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/183090
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/600223
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/183086
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/164500
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/271930
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/301835
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/304700
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/211530
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/600795
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/157640
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/609454
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608931
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608809
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608782
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608768
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608627
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/500001
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/313200
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/308940
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/608013
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607822
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607736
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607674
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607625
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607483
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300261
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/300260
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607346
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607259
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607236
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/607136
http://purl.bioontology.org/ontology/OMIM/MTHU036443,manifestation_of,http://purl.bioontology.org/ontology/OMIM/264470
